Away,Home,Away Q1,Away Q2,Away Q3,Away Q4,Home Q1,Home Q2,Home Q3,Home Q4
New England Patriots,Pittsburgh Steelers,0,3,3,6,7,7,7,7
Minnesota Vikings,San Francisco 49ers,7,7,4,2,7,1,1,8
Tampa Bay Buccaneers,Green Bay Packers,0,0,7,7,7,3,3,1
Denver Broncos,Kansas City Chiefs,0,7,7,4,0,0,0,0
Green Bay Packers,San Francisco 49ers,3,3,3,3,0,3,3,0
Denver Broncos,Pittsburgh Steelers,7,4,4,4,7,4,4,1
Green Bay Packers,Denver Broncos,7,4,7,4,7,7,4,1
Arizona Cardinals,Dallas Cowboys,7,0,7,0,0,0,0,7
Buffalo Bills,Miami Dolphins,0,7,4,7,3,6,4,4
New England Patriots,Jacksonville Jaguars,0,0,7,0,6,2,2,5
Green Bay Packers,San Francisco 49ers,3,7,7,7,7,0,0,0
San Francisco 49ers,Atlanta Falcons,0,0,0,8,7,4,7,0
Miami Dolphins,Denver Broncos,0,3,3,3,4,1,4,8
Arizona Cardinals,Minnesota Vikings,0,7,4,1,7,4,4,1
Jacksonville Jaguars,New York Jets,0,7,4,4,7,7,1,4
Atlanta Falcons,Minnesota Vikings,7,4,7,7,7,0,0,7
New York Jets,Denver Broncos,0,3,0,0,0,0,0,3
Denver Broncos,Atlanta Falcons,7,7,7,4,3,6,6,9
Buffalo Bills,Tennessee Titans,0,0,7,6,0,2,2,2
Detroit Lions,Washington Redskins,0,0,0,3,4,7,7,7
Miami Dolphins,Seattle Seahawks,3,3,3,0,7,0,7,7
Dallas Cowboys,Minnesota Vikings,0,0,0,0,3,7,0,7
Miami Dolphins,Jacksonville Jaguars,0,7,7,7,4,1,5,2
Washington Redskins,Tampa Bay Buccaneers,0,3,3,3,0,0,7,4
Minnesota Vikings,St. Louis Rams,3,7,7,7,4,4,5,9
Tennessee Titans,Indianapolis Colts,0,6,3,9,3,9,9,6
Tampa Bay Buccaneers,St. Louis Rams,0,3,3,6,3,5,5,1
Tennessee Titans,Jacksonville Jaguars,7,0,6,3,7,4,4,4
St. Louis Rams,Tennessee Titans,3,9,6,3,0,0,6,6
Indianapolis Colts,Miami Dolphins,3,4,4,7,0,0,7,7
St. Louis Rams,New Orleans Saints,7,7,7,8,0,0,7,1
Tampa Bay Buccaneers,Philadelphia Eagles,0,3,3,3,0,4,4,1
Denver Broncos,Baltimore Ravens,0,3,3,3,0,4,1,1
New Orleans Saints,Minnesota Vikings,3,3,0,6,0,7,7,4
Miami Dolphins,Oakland Raiders,0,0,0,0,0,0,7,7
Philadelphia Eagles,New York Giants,0,3,3,0,7,7,7,0
Baltimore Ravens,Tennessee Titans,0,7,0,4,7,7,0,0
Minnesota Vikings,New York Giants,0,0,0,0,4,4,1,1
Baltimore Ravens,Oakland Raiders,0,0,3,6,0,0,3,3
Baltimore Ravens,New York Giants,7,0,4,4,0,0,7,7
Tampa Bay Buccaneers,Philadelphia Eagles,3,9,9,9,3,7,4,1
New York Jets,Oakland Raiders,0,3,0,4,6,6,6,8
San Francisco 49ers,Green Bay Packers,0,7,7,5,6,6,5,5
Baltimore Ravens,Miami Dolphins,0,7,4,0,3,3,3,3
Oakland Raiders,New England Patriots,0,7,3,3,0,0,3,3
Philadelphia Eagles,Chicago Bears,6,3,0,3,0,7,4,9
Baltimore Ravens,Pittsburgh Steelers,0,3,0,0,0,0,0,7
Green Bay Packers,St. Louis Rams,7,0,0,7,7,4,8,5
New England Patriots,Pittsburgh Steelers,7,4,1,4,0,3,7,7
Philadelphia Eagles,St. Louis Rams,3,7,7,4,0,3,2,9
St. Louis Rams,New England Patriots,3,3,3,7,0,4,7,0
Atlanta Falcons,Green Bay Packers,4,4,7,7,0,0,7,7
Indianapolis Colts,New York Jets,0,0,0,0,7,4,4,1
Cleveland Browns,Pittsburgh Steelers,7,7,4,3,0,7,4,6
New York Giants,San Francisco 49ers,7,8,8,8,7,4,2,9
Pittsburgh Steelers,Tennessee Titans,0,3,0,1,4,4,8,1
Atlanta Falcons,Philadelphia Eagles,0,6,6,6,0,3,3,0
New York Jets,Oakland Raiders,3,0,0,0,3,0,7,0
San Francisco 49ers,Tampa Bay Buccaneers,3,6,6,6,7,8,1,1
Tennessee Titans,Oakland Raiders,7,7,4,4,4,4,7,1
Tampa Bay Buccaneers,Philadelphia Eagles,0,7,0,7,7,0,0,0
Tampa Bay Buccaneers,Oakland Raiders,3,0,4,8,3,3,9,1
Dallas Cowboys,Carolina Panthers,0,3,3,0,6,6,3,9
Tennessee Titans,Baltimore Ravens,7,7,4,0,7,0,0,7
Denver Broncos,Indianapolis Colts,3,3,3,0,4,1,1,1
Seattle Seahawks,Green Bay Packers,3,6,0,7,0,3,3,7
Tennessee Titans,New England Patriots,7,7,4,4,7,4,4,7
Carolina Panthers,St. Louis Rams,0,0,6,3,3,9,2,3
Green Bay Packers,Philadelphia Eagles,4,4,4,7,0,7,7,7
Indianapolis Colts,Kansas City Chiefs,4,1,1,8,3,0,4,1
Indianapolis Colts,New England Patriots,0,0,7,4,7,5,1,4
Carolina Panthers,Philadelphia Eagles,0,7,4,4,0,3,3,3
New England Patriots,Carolina Panthers,0,4,4,2,0,0,0,9
New York Jets,San Diego Chargers,0,7,7,7,0,7,7,7
St. Louis Rams,Seattle Seahawks,7,4,7,7,3,0,3,0
Denver Broncos,Indianapolis Colts,0,3,7,4,4,5,5,9
Minnesota Vikings,Green Bay Packers,7,4,4,1,3,0,0,7
St. Louis Rams,Atlanta Falcons,7,7,7,7,4,8,8,7
New York Jets,Pittsburgh Steelers,0,0,7,7,0,0,0,7
Indianapolis Colts,New England Patriots,0,3,3,3,0,6,3,0
Minnesota Vikings,Philadelphia Eagles,0,7,7,4,7,1,1,7
New England Patriots,Pittsburgh Steelers,0,4,1,1,3,3,7,7
Atlanta Falcons,Philadelphia Eagles,0,0,0,0,7,4,0,7
Philadelphia Eagles,New England Patriots,0,7,4,1,0,7,4,4
Jacksonville Jaguars,New England Patriots,0,3,3,3,0,7,1,8
Washington Redskins,Tampa Bay Buccaneers,4,7,7,7,0,3,0,0
Carolina Panthers,New York Giants,0,0,7,3,0,0,0,0
Pittsburgh Steelers,Cincinnati Bengals,0,4,8,1,0,7,7,7
New England Patriots,Denver Broncos,0,3,6,3,0,0,7,7
Washington Redskins,Seattle Seahawks,0,3,3,0,0,7,4,0
Carolina Panthers,Chicago Bears,7,6,3,9,0,7,4,1
Pittsburgh Steelers,Indianapolis Colts,4,4,1,1,0,3,3,8
Carolina Panthers,Seattle Seahawks,0,7,7,4,0,0,7,4
Pittsburgh Steelers,Denver Broncos,3,4,4,4,0,3,0,7
Seattle Seahawks,Pittsburgh Steelers,3,3,0,0,0,7,4,1
Kansas City Chiefs,Indianapolis Colts,0,0,8,8,6,9,6,3
Dallas Cowboys,Seattle Seahawks,3,0,7,0,3,6,3,1
New York Jets,New England Patriots,3,0,3,6,7,7,3,7
New York Giants,Philadelphia Eagles,7,0,0,0,0,7,0,3
Philadelphia Eagles,New Orleans Saints,0,4,1,4,3,3,7,7
Indianapolis Colts,Baltimore Ravens,6,9,2,5,0,3,3,6
Seattle Seahawks,Chicago Bears,0,4,4,4,7,1,1,4
New England Patriots,San Diego Chargers,3,0,3,4,0,4,4,1
New Orleans Saints,Chicago Bears,0,7,4,4,3,6,8,9
New England Patriots,Indianapolis Colts,7,1,8,4,3,6,1,8
Indianapolis Colts,Chicago Bears,6,6,2,9,4,4,7,7
Jacksonville Jaguars,Pittsburgh Steelers,7,1,8,1,7,7,0,9
